section	saleinit	datesold	title	cost	listpric	salepric
Internet	JMB	01/08/98	Internet Title  62	$27.97	$39.95	$39.95
Internet	MJM	01/09/98	Internet Title  63	$17.47	$24.95	$24.95
Internet	BLT	01/25/98	Internet Title  64	$23.07	$32.95	$29.66
Internet	JMB	01/05/98	Internet Title  65	$25.17	$35.95	$35.95
Internet	BLT	01/12/98	Internet Title  66	$25.17	$35.95	$35.95
Internet	BLT	01/07/98	Internet Title  67	$20.97	$29.95	$29.95
Internet	JMB	01/11/98	Internet Title  68	$20.97	$29.95	$23.96
Internet	JMB	01/23/98	Internet Title  69	$23.07	$32.95	$32.95
Internet	BLT	01/13/98	Internet Title  70	$20.27	$28.95	$28.95
Internet	MJM	01/30/98	Internet Title  71	$29.37	$41.95	$41.95
Internet	BLT	01/10/98	Internet Title  72	$23.16	$28.95	$26.06
Internet	MJM	01/03/98	Internet Title  73	$23.07	$32.95	$32.95
Internet	JMB	01/17/98	Internet Title  74	$23.07	$32.95	$32.95
Internet	MJM	01/03/98	Internet Title  75	$25.17	$35.95	$35.95
Internet	BLT	01/07/98	Internet Title  76	$23.07	$32.95	$32.95
Internet	MJM	01/09/98	Internet Title  77	$13.97	$19.95	$19.95
Internet	BLT	01/25/98	Internet Title  78	$20.27	$28.95	$28.95
Internet	BLT	01/28/98	Internet Title  79	$20.97	$29.95	$29.95
Internet	MJM	01/21/98	Internet Title  80	$20.97	$29.95	$26.96
Internet	BLT	01/04/98	Internet Title  81	$23.07	$32.95	$32.95
Internet	JMB	01/11/98	Internet Title  82	$20.27	$28.95	$28.95
Internet	MJM	01/09/98	Internet Title  83	$25.17	$35.95	$35.95
Internet	BLT	01/07/98	Internet Title  84	$31.96	$39.95	$39.95
Internet	JMB	01/23/98	Internet Title  85	$23.07	$32.95	$26.36
Internet	MJM	01/09/98	Internet Title  86	$20.27	$28.95	$28.95
Internet	BLT	01/10/98	Internet Title  87	$20.97	$29.95	$29.95
Internet	BLT	01/13/98	Internet Title  88	$17.47	$24.95	$22.46
Internet	JMB	01/26/98	Internet Title  89	$25.17	$35.95	$35.95
Internet	JMB	01/29/98	Internet Title  90	$17.47	$24.95	$24.95
Internet	JMB	01/17/98	Internet Title  91	$20.27	$28.95	$28.95
Internet	JMB	01/26/98	Internet Title  92	$20.27	$28.95	$28.95
Internet	MJM	01/30/98	Internet Title  93	$20.27	$28.95	$28.95
Internet	BLT	01/22/98	Internet Title  94	$20.27	$28.95	$28.95
Internet	JMB	01/14/98	Internet Title  95	$20.27	$28.95	$28.95
Internet	JMB	01/11/98	Internet Title  96	$23.96	$29.95	$26.96
Internet	BLT	01/12/98	Internet Title  97	$20.97	$29.95	$29.95
Internet	JMB	01/20/98	Internet Title  98	$23.07	$32.95	$32.95
Internet	MJM	01/03/98	Internet Title  99	$20.27	$28.95	$28.95
Internet	JMB	01/23/98	Internet Title 100	$23.07	$32.95	$32.95
Internet	BLT	01/13/98	Internet Title 101	$29.37	$41.95	$41.95
Internet	JMB	01/14/98	Internet Title 102	$20.97	$29.95	$23.96
Internet	JMB	01/26/98	Internet Title 103	$30.07	$42.95	$42.95
Internet	MJM	01/09/98	Internet Title 104	$23.07	$32.95	$29.66
Internet	JMB	01/11/98	Internet Title 105	$20.27	$28.95	$28.95
Networks and Communication	MJM	01/30/98	Networks and Communication Title   1	$20.27	$28.95	$28.95
Networks and Communication	MJM	01/06/98	Networks and Communication Title   2	$27.97	$39.95	$39.95
Networks and Communication	JMB	01/26/98	Networks and Communication Title   3	$23.07	$32.95	$32.95
Networks and Communication	BLT	01/12/98	Networks and Communication Title   4	$17.47	$24.95	$24.95
Networks and Communication	JMB	01/20/98	Networks and Communication Title   5	$25.17	$35.95	$35.95
Networks and Communication	MJM	01/06/98	Networks and Communication Title   6	$20.97	$29.95	$29.95
Networks and Communication	MJM	01/15/98	Networks and Communication Title   7	$20.27	$28.95	$28.95
Networks and Communication	BLT	01/28/98	Networks and Communication Title   8	$17.47	$24.95	$22.46
Networks and Communication	BLT	01/19/98	Networks and Communication Title   9	$25.17	$35.95	$35.95
Networks and Communication	BLT	01/07/98	Networks and Communication Title  10	$20.97	$29.95	$29.95
Networks and Communication	BLT	01/10/98	Networks and Communication Title  11	$30.07	$42.95	$42.95
Networks and Communication	MJM	01/09/98	Networks and Communication Title  12	$15.16	$18.95	$18.95
Networks and Communication	JMB	01/23/98	Networks and Communication Title  13	$20.97	$29.95	$29.95
Networks and Communication	BLT	01/28/98	Networks and Communication Title  14	$25.17	$35.95	$35.95
Networks and Communication	BLT	01/07/98	Networks and Communication Title  15	$27.97	$39.95	$39.95
Networks and Communication	JMB	01/29/98	Networks and Communication Title  16	$20.27	$28.95	$26.06
Networks and Communication	BLT	01/07/98	Networks and Communication Title  17	$23.07	$32.95	$26.36
Networks and Communication	BLT	01/01/98	Networks and Communication Title  18	$13.27	$18.95	$18.95
Networks and Communication	JMB	01/29/98	Networks and Communication Title  19	$20.97	$29.95	$29.95
Networks and Communication	BLT	01/12/98	Networks and Communication Title  20	$20.97	$29.95	$29.95
Networks and Communication	BLT	01/04/98	Networks and Communication Title  21	$20.97	$29.95	$29.95
Networks and Communication	JMB	01/17/98	Networks and Communication Title  22	$27.97	$39.95	$39.95
Networks and Communication	BLT	01/07/98	Networks and Communication Title  23	$17.47	$24.95	$24.95
Networks and Communication	BLT	01/25/98	Networks and Communication Title  24	$23.96	$29.95	$26.96
Networks and Communication	JMB	01/02/98	Networks and Communication Title  25	$20.27	$28.95	$28.95
Networks and Communication	JMB	01/26/98	Networks and Communication Title  26	$20.97	$29.95	$29.95
Networks and Communication	MJM	01/18/98	Networks and Communication Title  27	$25.17	$35.95	$35.95
Networks and Communication	BLT	01/16/98	Networks and Communication Title  28	$20.27	$28.95	$28.95
Networks and Communication	JMB	01/29/98	Networks and Communication Title  29	$20.27	$28.95	$28.95
Networks and Communication	JMB	01/02/98	Networks and Communication Title  30	$17.47	$24.95	$24.95
Networks and Communication	MJM	01/15/98	Networks and Communication Title  31	$16.07	$22.95	$22.95
Networks and Communication	MJM	01/30/98	Networks and Communication Title  32	$16.07	$22.95	$20.66
Networks and Communication	BLT	01/01/98	Networks and Communication Title  33	$20.97	$29.95	$29.95
Networks and Communication	MJM	01/27/98	Networks and Communication Title  34	$20.27	$28.95	$23.16
Networks and Communication	JMB	01/14/98	Networks and Communication Title  35	$25.17	$35.95	$35.95
Networks and Communication	JMB	01/20/98	Networks and Communication Title  36	$19.96	$24.95	$24.95
Networks and Communication	MJM	01/15/98	Networks and Communication Title  37	$17.47	$24.95	$24.95
Networks and Communication	JMB	01/17/98	Networks and Communication Title  38	$20.97	$29.95	$29.95
Networks and Communication	BLT	01/25/98	Networks and Communication Title  39	$17.47	$24.95	$24.95
Networks and Communication	MJM	01/30/98	Networks and Communication Title  40	$20.97	$29.95	$26.96
Operating Systems	BLT	01/10/98	Operating Systems Title   1	$17.47	$24.95	$24.95
Operating Systems	JMB	01/11/98	Operating Systems Title   2	$20.27	$28.95	$28.95
Operating Systems	JMB	01/08/98	Operating Systems Title   3	$17.47	$24.95	$24.95
Operating Systems	MJM	01/30/98	Operating Systems Title   4	$23.07	$32.95	$32.95
Operating Systems	BLT	01/13/98	Operating Systems Title   5	$25.17	$35.95	$35.95
Operating Systems	BLT	01/12/98	Operating Systems Title   6	$27.97	$39.95	$39.95
Operating Systems	MJM	01/27/98	Operating Systems Title   7	$20.97	$29.95	$29.95
Operating Systems	BLT	01/12/98	Operating Systems Title   8	$23.07	$32.95	$29.66
Operating Systems	MJM	01/30/98	Operating Systems Title   9	$20.97	$29.95	$29.95
Operating Systems	JMB	01/08/98	Operating Systems Title  10	$30.07	$42.95	$42.95
Operating Systems	MJM	01/06/98	Operating Systems Title  11	$23.07	$32.95	$32.95
Operating Systems	BLT	01/07/98	Operating Systems Title  12	$23.16	$28.95	$28.95
Operating Systems	JMB	01/17/98	Operating Systems Title  13	$17.47	$24.95	$24.95
Operating Systems	MJM	01/18/98	Operating Systems Title  14	$23.07	$32.95	$32.95
Operating Systems	JMB	01/02/98	Operating Systems Title  15	$13.97	$19.95	$19.95
Operating Systems	BLT	01/07/98	Operating Systems Title  16	$25.17	$35.95	$32.36
Operating Systems	JMB	01/26/98	Operating Systems Title  17	$20.27	$28.95	$23.16
Operating Systems	BLT	01/12/98	Operating Systems Title  18	$20.97	$29.95	$29.95
Operating Systems	JMB	01/08/98	Operating Systems Title  19	$23.07	$32.95	$32.95
Operating Systems	JMB	01/02/98	Operating Systems Title  20	$27.97	$39.95	$39.95
Operating Systems	BLT	01/13/98	Operating Systems Title  21	$23.07	$32.95	$32.95
Operating Systems	BLT	01/13/98	Operating Systems Title  22	$20.97	$29.95	$29.95
Operating Systems	JMB	01/14/98	Operating Systems Title  23	$30.07	$42.95	$42.95
Operating Systems	MJM	01/06/98	Operating Systems Title  24	$28.76	$35.95	$32.36
Operating Systems	JMB	01/14/98	Operating Systems Title  25	$23.07	$32.95	$32.95
Operating Systems	MJM	01/30/98	Operating Systems Title  26	$23.07	$32.95	$32.95
Operating Systems	BLT	01/19/98	Operating Systems Title  27	$17.47	$24.95	$24.95
Operating Systems	MJM	01/21/98	Operating Systems Title  28	$27.97	$39.95	$39.95
Operating Systems	MJM	01/09/98	Operating Systems Title  29	$27.97	$39.95	$39.95
Operating Systems	BLT	01/16/98	Operating Systems Title  30	$20.97	$29.95	$29.95
Operating Systems	JMB	01/26/98	Operating Systems Title  31	$20.27	$28.95	$28.95
Operating Systems	BLT	01/10/98	Operating Systems Title  32	$25.17	$35.95	$32.36
Operating Systems	JMB	01/23/98	Operating Systems Title  33	$20.27	$28.95	$28.95
Operating Systems	BLT	01/25/98	Operating Systems Title  34	$17.47	$24.95	$19.96
Operating Systems	BLT	01/12/98	Operating Systems Title  35	$17.47	$24.95	$24.95
Operating Systems	MJM	01/15/98	Operating Systems Title  36	$23.96	$29.95	$29.95
Operating Systems	BLT	01/25/98	Operating Systems Title  37	$13.97	$19.95	$19.95
Operating Systems	JMB	01/17/98	Operating Systems Title  38	$27.97	$39.95	$39.95
Operating Systems	MJM	01/09/98	Operating Systems Title  39	$16.07	$22.95	$22.95
Operating Systems	JMB	01/26/98	Operating Systems Title  40	$20.97	$29.95	$26.96
Operating Systems	MJM	01/06/98	Operating Systems Title  41	$25.17	$35.95	$35.95
Operating Systems	BLT	01/01/98	Operating Systems Title  42	$13.97	$19.95	$19.95
Operating Systems	BLT	01/25/98	Operating Systems Title  43	$20.27	$28.95	$28.95
Operating Systems	JMB	01/20/98	Operating Systems Title  44	$20.27	$28.95	$28.95
Operating Systems	BLT	01/12/98	Operating Systems Title  45	$30.07	$42.95	$42.95
Operating Systems	MJM	01/30/98	Operating Systems Title  46	$20.97	$29.95	$29.95
Operating Systems	BLT	01/28/98	Operating Systems Title  47	$23.07	$32.95	$32.95
Operating Systems	JMB	01/14/98	Operating Systems Title  48	$26.36	$32.95	$29.66
Operating Systems	JMB	01/17/98	Operating Systems Title  49	$30.07	$42.95	$42.95
Operating Systems	BLT	01/10/98	Operating Systems Title  50	$25.17	$35.95	$35.95
Operating Systems	JMB	01/23/98	Operating Systems Title  51	$16.07	$22.95	$18.36
Operating Systems	MJM	01/30/98	Operating Systems Title  52	$23.07	$32.95	$32.95
Operating Systems	MJM	01/30/98	Operating Systems Title  53	$20.97	$29.95	$29.95
Operating Systems	JMB	01/26/98	Operating Systems Title  54	$25.17	$35.95	$35.95
Operating Systems	BLT	01/04/98	Operating Systems Title  55	$25.17	$35.95	$35.95
Operating Systems	JMB	01/26/98	Operating Systems Title  56	$13.27	$18.95	$17.06
Operating Systems	BLT	01/24/98	Operating Systems Title  57	$17.47	$24.95	$24.95
Operating Systems	JMB	01/08/98	Operating Systems Title  58	$20.27	$28.95	$28.95
Operating Systems	JMB	01/17/98	Operating Systems Title  59	$20.27	$28.95	$28.95
Operating Systems	MJM	01/15/98	Operating Systems Title  60	$31.96	$39.95	$39.95
Operating Systems	JMB	01/14/98	Operating Systems Title  61	$27.97	$39.95	$39.95
Operating Systems	BLT	01/01/98	Operating Systems Title  62	$23.07	$32.95	$32.95
Operating Systems	BLT	01/25/98	Operating Systems Title  63	$17.47	$24.95	$24.95
Operating Systems	BLT	01/12/98	Operating Systems Title  64	$17.47	$24.95	$22.46
Operating Systems	JMB	01/23/98	Operating Systems Title  65	$23.07	$32.95	$32.95
Operating Systems	BLT	01/19/98	Operating Systems Title  66	$25.17	$35.95	$35.95
Operating Systems	MJM	01/03/98	Operating Systems Title  67	$20.97	$29.95	$29.95
Operating Systems	JMB	01/14/98	Operating Systems Title  68	$23.07	$32.95	$26.36
Operating Systems	BLT	01/13/98	Operating Systems Title  69	$25.17	$35.95	$35.95
Operating Systems	BLT	01/04/98	Operating Systems Title  70	$25.17	$35.95	$35.95
Operating Systems	JMB	01/26/98	Operating Systems Title  71	$20.97	$29.95	$29.95
Operating Systems	BLT	01/04/98	Operating Systems Title  72	$19.96	$24.95	$22.46
Operating Systems	BLT	01/25/98	Operating Systems Title  73	$20.97	$29.95	$29.95
Operating Systems	BLT	01/13/98	Operating Systems Title  74	$30.07	$42.95	$42.95
Operating Systems	MJM	01/03/98	Operating Systems Title  75	$20.27	$28.95	$28.95
Operating Systems	JMB	01/26/98	Operating Systems Title  76	$20.27	$28.95	$28.95
Operating Systems	BLT	01/28/98	Operating Systems Title  77	$20.97	$29.95	$29.95
Operating Systems	MJM	01/06/98	Operating Systems Title  78	$20.97	$29.95	$29.95
Operating Systems	JMB	01/26/98	Operating Systems Title  79	$20.27	$28.95	$28.95
Operating Systems	JMB	01/11/98	Operating Systems Title  80	$25.17	$35.95	$32.36
Operating Systems	JMB	01/20/98	Operating Systems Title  81	$20.27	$28.95	$28.95
Operating Systems	MJM	01/30/98	Operating Systems Title  82	$25.17	$35.95	$35.95
Operating Systems	MJM	01/30/98	Operating Systems Title  83	$20.27	$28.95	$28.95
Operating Systems	BLT	01/24/98	Operating Systems Title  84	$23.16	$28.95	$28.95
Operating Systems	JMB	01/29/98	Operating Systems Title  85	$20.97	$29.95	$23.96
Operating Systems	BLT	01/25/98	Operating Systems Title  86	$30.07	$42.95	$42.95
Operating Systems	BLT	01/28/98	Operating Systems Title  87	$20.27	$28.95	$28.95
Operating Systems	JMB	01/29/98	Operating Systems Title  88	$29.37	$41.95	$37.76
Operating Systems	BLT	01/04/98	Operating Systems Title  89	$20.97	$29.95	$29.95
Operating Systems	JMB	01/11/98	Operating Systems Title  90	$16.07	$22.95	$22.95
Operating Systems	JMB	01/14/98	Operating Systems Title  91	$30.07	$42.95	$42.95
Operating Systems	MJM	01/03/98	Operating Systems Title  92	$20.97	$29.95	$29.95
Operating Systems	MJM	01/09/98	Operating Systems Title  93	$30.07	$42.95	$42.95
Operating Systems	JMB	01/29/98	Operating Systems Title  94	$17.47	$24.95	$24.95
Operating Systems	JMB	01/02/98	Operating Systems Title  95	$27.97	$39.95	$39.95
Operating Systems	MJM	01/09/98	Operating Systems Title  96	$28.76	$35.95	$32.36
Operating Systems	JMB	01/29/98	Operating Systems Title  97	$20.97	$29.95	$29.95
Operating Systems	BLT	01/07/98	Operating Systems Title  98	$25.17	$35.95	$35.95
Operating Systems	JMB	01/26/98	Operating Systems Title  99	$25.17	$35.95	$35.95
Operating Systems	MJM	01/03/98	Operating Systems Title 100	$20.27	$28.95	$28.95
Operating Systems	MJM	01/30/98	Operating Systems Title 101	$17.47	$24.95	$24.95
Operating Systems	MJM	01/30/98	Operating Systems Title 102	$25.17	$35.95	$28.76
Operating Systems	JMB	01/14/98	Operating Systems Title 103	$20.97	$29.95	$29.95
Operating Systems	MJM	01/15/98	Operating Systems Title 104	$27.97	$39.95	$35.96
Operating Systems	BLT	01/04/98	Operating Systems Title 105	$25.17	$35.95	$35.95
Operating Systems	JMB	01/11/98	Operating Systems Title 106	$20.97	$29.95	$29.95
Operating Systems	MJM	01/30/98	Operating Systems Title 107	$20.27	$28.95	$28.95
Operating Systems	JMB	01/02/98	Operating Systems Title 108	$18.36	$22.95	$22.95
Operating Systems	BLT	01/16/98	Operating Systems Title 109	$17.47	$24.95	$24.95
Operating Systems	JMB	01/05/98	Operating Systems Title 110	$20.97	$29.95	$29.95
Programming Languages	BLT	01/25/98	Programming Languages Title   1	$17.47	$24.95	$24.95
Programming Languages	JMB	01/17/98	Programming Languages Title   2	$20.27	$28.95	$28.95
Programming Languages	MJM	01/09/98	Programming Languages Title   3	$23.07	$32.95	$32.95
Programming Languages	JMB	01/29/98	Programming Languages Title   4	$20.97	$29.95	$29.95
Programming Languages	MJM	01/30/98	Programming Languages Title   5	$16.07	$22.95	$22.95
Programming Languages	MJM	01/15/98	Programming Languages Title   6	$20.97	$29.95	$29.95
Programming Languages	BLT	01/12/98	Programming Languages Title   7	$23.07	$32.95	$32.95
Programming Languages	JMB	01/26/98	Programming Languages Title   8	$20.27	$28.95	$26.06
Programming Languages	MJM	01/18/98	Programming Languages Title   9	$20.97	$29.95	$29.95
Programming Languages	BLT	01/22/98	Programming Languages Title  10	$30.07	$42.95	$42.95
Programming Languages	BLT	01/13/98	Programming Languages Title  11	$17.47	$24.95	$24.95
Programming Languages	MJM	01/03/98	Programming Languages Title  12	$26.36	$32.95	$32.95
Programming Languages	JMB	01/29/98	Programming Languages Title  13	$17.47	$24.95	$24.95
Programming Languages	BLT	01/28/98	Programming Languages Title  14	$30.07	$42.95	$42.95
Programming Languages	MJM	01/15/98	Programming Languages Title  15	$20.27	$28.95	$28.95
Programming Languages	MJM	01/03/98	Programming Languages Title  16	$23.07	$32.95	$29.66
Programming Languages	JMB	01/29/98	Programming Languages Title  17	$20.97	$29.95	$23.96
Programming Languages	MJM	01/21/98	Programming Languages Title  18	$27.97	$39.95	$39.95
Programming Languages	BLT	01/10/98	Programming Languages Title  19	$20.27	$28.95	$28.95
Programming Languages	BLT	01/13/98	Programming Languages Title  20	$20.97	$29.95	$29.95
Programming Languages	MJM	01/09/98	Programming Languages Title  21	$20.97	$29.95	$29.95
Programming Languages	BLT	01/19/98	Programming Languages Title  22	$23.07	$32.95	$32.95
Programming Languages	JMB	01/11/98	Programming Languages Title  23	$20.27	$28.95	$28.95
Programming Languages	JMB	01/02/98	Programming Languages Title  24	$26.36	$32.95	$29.66
Programming Languages	BLT	01/16/98	Programming Languages Title  25	$16.07	$22.95	$22.95
Programming Languages	BLT	01/07/98	Programming Languages Title  26	$20.27	$28.95	$28.95
Programming Languages	JMB	01/23/98	Programming Languages Title  27	$27.97	$39.95	$39.95
Programming Languages	JMB	01/23/98	Programming Languages Title  28	$17.47	$24.95	$24.95
Programming Languages	BLT	01/10/98	Programming Languages Title  29	$20.27	$28.95	$28.95
Programming Languages	BLT	01/28/98	Programming Languages Title  30	$20.27	$28.95	$28.95
Programming Languages	BLT	01/04/98	Programming Languages Title  31	$17.47	$24.95	$24.95
Programming Languages	BLT	01/12/98	Programming Languages Title  32	$27.97	$39.95	$35.96
Programming Languages	BLT	01/07/98	Programming Languages Title  33	$23.07	$32.95	$32.95
Programming Languages	MJM	01/06/98	Programming Languages Title  34	$16.07	$22.95	$18.36
Programming Languages	BLT	01/13/98	Programming Languages Title  35	$20.27	$28.95	$28.95
Programming Languages	MJM	01/03/98	Programming Languages Title  36	$31.96	$39.95	$39.95
Programming Languages	BLT	01/12/98	Programming Languages Title  37	$27.97	$39.95	$39.95
Programming Languages	BLT	01/12/98	Programming Languages Title  38	$20.97	$29.95	$29.95
Programming Languages	JMB	01/02/98	Programming Languages Title  39	$20.27	$28.95	$28.95
Programming Languages	BLT	01/24/98	Programming Languages Title  40	$25.17	$35.95	$32.36
Programming Languages	JMB	01/29/98	Programming Languages Title  41	$16.07	$22.95	$22.95
Programming Languages	BLT	01/22/98	Programming Languages Title  42	$23.07	$32.95	$32.95
Programming Languages	BLT	01/04/98	Programming Languages Title  43	$20.97	$29.95	$29.95
Programming Languages	BLT	01/24/98	Programming Languages Title  44	$20.97	$29.95	$29.95
Programming Languages	BLT	01/04/98	Programming Languages Title  45	$25.17	$35.95	$35.95
Programming Languages	JMB	01/17/98	Programming Languages Title  46	$20.97	$29.95	$29.95
Programming Languages	JMB	01/05/98	Programming Languages Title  47	$23.07	$32.95	$32.95
Programming Languages	BLT	01/28/98	Programming Languages Title  48	$23.96	$29.95	$26.96
Programming Languages	BLT	01/04/98	Programming Languages Title  49	$25.17	$35.95	$35.95
Programming Languages	JMB	01/05/98	Programming Languages Title  50	$20.97	$29.95	$29.95
Programming Languages	MJM	01/21/98	Programming Languages Title  51	$20.97	$29.95	$23.96
Programming Languages	MJM	01/03/98	Programming Languages Title  52	$20.27	$28.95	$28.95
Programming Languages	MJM	01/21/98	Programming Languages Title  53	$25.17	$35.95	$35.95
Programming Languages	BLT	01/01/98	Programming Languages Title  54	$20.97	$29.95	$29.95
Programming Languages	MJM	01/15/98	Programming Languages Title  55	$25.17	$35.95	$35.95
Programming Languages	MJM	01/15/98	Programming Languages Title  56	$17.47	$24.95	$22.46
Programming Languages	BLT	01/24/98	Programming Languages Title  57	$20.27	$28.95	$28.95
Programming Languages	BLT	01/25/98	Programming Languages Title  58	$23.07	$32.95	$32.95
Programming Languages	MJM	01/06/98	Programming Languages Title  59	$20.27	$28.95	$28.95
Programming Languages	JMB	01/20/98	Programming Languages Title  60	$19.96	$24.95	$24.95
Web Design	JMB	01/05/98	Web Design Title   1	$25.17	$35.95	$35.95
Web Design	MJM	01/06/98	Web Design Title   2	$23.07	$32.95	$32.95
Web Design	BLT	01/22/98	Web Design Title   3	$20.27	$28.95	$28.95
Web Design	BLT	01/25/98	Web Design Title   4	$20.97	$29.95	$29.95
Web Design	JMB	01/20/98	Web Design Title   5	$23.07	$32.95	$32.95
Web Design	BLT	01/07/98	Web Design Title   6	$13.27	$18.95	$18.95
Web Design	JMB	01/29/98	Web Design Title   7	$23.07	$32.95	$32.95
Web Design	BLT	01/07/98	Web Design Title   8	$20.97	$29.95	$26.96
Web Design	MJM	01/30/98	Web Design Title   9	$17.47	$24.95	$24.95
Web Design	MJM	01/21/98	Web Design Title  10	$20.97	$29.95	$29.95
Web Design	JMB	01/08/98	Web Design Title  11	$20.27	$28.95	$28.95
Web Design	BLT	01/12/98	Web Design Title  12	$26.36	$32.95	$32.95
Web Design	MJM	01/03/98	Web Design Title  13	$27.97	$39.95	$39.95
Web Design	BLT	01/13/98	Web Design Title  14	$27.97	$39.95	$39.95
Web Design	BLT	01/13/98	Web Design Title  15	$30.07	$42.95	$42.95
Web Design	MJM	01/21/98	Web Design Title  16	$20.27	$28.95	$26.06
Web Design	MJM	01/15/98	Web Design Title  17	$30.07	$42.95	$34.36
Web Design	MJM	01/27/98	Web Design Title  18	$13.97	$19.95	$19.95
Web Design	MJM	01/09/98	Web Design Title  19	$27.97	$39.95	$39.95
Web Design	JMB	01/17/98	Web Design Title  20	$20.97	$29.95	$29.95
Web Design	MJM	01/09/98	Web Design Title  21	$25.17	$35.95	$35.95
Web Design	MJM	01/15/98	Web Design Title  22	$20.97	$29.95	$29.95
Web Design	BLT	01/12/98	Web Design Title  23	$25.17	$35.95	$35.95
Web Design	JMB	01/23/98	Web Design Title  24	$15.96	$19.95	$17.96
